price,num_bedrooms,num_bathrooms,num_toilet,location,property_type
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,victoria island,3 BEDROOM FLAT 
6500000,5,5,6,parkview estate,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT PARKVIEW ESTATE IKOYI LAGOS
1200000,2,2,3,millenuim ups,2 BEDROOM FLAT 
2500000,3,3,4,medina gbagada,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT MEDINA GBAGADA LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM FLAT 
350000,1,1,1,arowojobe estate,1 BEDROOM MINI FLAT FLAT 
550000,1,1,1,soluyi gbagada,1 BEDROOM MINI FLAT MINI FLAT FLAT 
3500000,4,4,5,anthony village,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT ANTHONY VILLAGE MARYLAND LAGOS
900000,2,2,3,thomas estate,2 BEDROOM FLAT 
1100000,2,2,3,ogudu orike,2 BEDROOM SHARED APARTMENT FLAT 
3000000,4,4,5,mende maryland,4 BEDROOM HOUSE FOR RENT MENDE MARYLAND LAGOS
2200000,4,4,5,magodo gra,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT MAGODO GRA PHASE 2 KOSOFE
350000,3,3,3,very decent,3 BEDROOM FLAT 
2200000,4,4,5,harmony estate,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT HARMONY ESTATE MAGODO GRA PHASE 1 OJODU LAGOS
700000,1,1,0,adeniyi jones,MINI FLAT FLAT 
2000000,4,4,5,lekki scheme,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT LEKKI SCHEME 2 OGOMBO AJAH LAGOS
1500000,1,1,2,oniru victoria,1 BEDROOM MINI FLAT MINI FLAT FLAT 
2000000,3,3,5,lekki phase,3 BEDROOM FLAT 
1600000,4,4,5,adeniyi jones,4 BEDROOM FLAT 
12000000,4,4,5,old ikoyi,4 BEDROOM FLAT 
15000000,6,6,7,old ikoyi,6 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
12500000,3,3,4,old ikoyi,3 BEDROOM FLAT 
1200000,1,1,2,off freedom,1 BEDROOM MINI FLAT FLAT 
3500000,3,3,4,oniru victoria,3 BEDROOM FLAT 
3500000,3,3,4,oniru victoria,3 BEDROOM FLAT 
13500000,3,3,4,banana island,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS
3500000,3,3,4,victoria island,3 BEDROOM FLAT 
3000000,2,2,3,victoria island,2 BEDROOM FLAT 
5000000,3,3,4,parkview estate,3 BEDROOM FLAT 
20000000,6,6,7,victoria island,6 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS
750000,1,1,1,thomas estate,1 BEDROOM MINI FLAT MINI FLAT FLAT 
4000000,4,4,5,admiralty way,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT ADMIRALTY WAY LEKKI PHASE ONE LEKKI PHASE 1 LEKKI LAGOS
850000,3,3,4,harmony estate,3 BEDROOM FLAT 
3500000,4,4,4,magodo gra,4 BEDROOM HOUSE FOR RENT MAGODO GRA PHASE 2 KOSOFE
1000000,1,1,0,osborne foreshore,FLAT 
700000,2,2,2,toyin street,2 BEDROOM FLAT 
8000000,3,3,4,banana island,3 BEDROOM FLAT 
4000000,5,5,6,idado lekki,5 BEDROOM HOUSE FOR RENT IDADO LEKKI LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS
2800000,4,4,5,ologolo lekki,4 BEDROOM MASSIONETTE HOUSE FOR RENT OLOGOLO LEKKI LAGOS
9000000,5,5,6,oniru victoria,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT ONIRU VICTORIA ISLAND LAGOS
3500000,4,4,5,osapa london,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OSAPA LONDON LEKKI LAGOS
4200000,4,4,5,bera estate,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT BERA ESTATE CHEVRON LEKKI CHEVRON LEKKI LAGOS
3500000,4,4,5,idado lekki,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IDADO LEKKI IDADO LEKKI LAGOS
3000000,4,4,5,chevron lekki,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT CHEVRON LEKKI CHEVRON LEKKI LAGOS
3000000,4,4,5,thomas estate,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT THOMAS ESTATE AJAH OSAPA LONDON LEKKI LAGOS
2000000,3,3,4,millenuim ups,3 BEDROOM PENTHOUSE FLAT 
500000,1,1,2,ifako gbagada,1 BEDROOM MINI FLAT FLAT 
5500000,2,2,2,palace road,2 BEDROOM FLAT 
3200000,4,4,5,2nd toll,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT 2ND TOLL GATE LEKKI LAGOS
10000000,4,4,4,. ikoyi,4 BEDROOM FLAT 
18000000,3,3,3,. victoria,3 BEDROOM FLAT 
9000000,3,3,3,old ikoyi,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
15000000,3,3,3,ikoyi lagos,3 BEDROOM FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
16000000,3,3,3,victoria island,3 BEDROOM FLAT 
20000000,6,6,6,old ikoyi,6 BEDROOM PENTHOUSE FLAT 
2000000,4,4,5,amuwo odofin,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT AMUWO ODOFIN AMUWO ODOFIN AMUWO ODOFIN LAGOS
12000000,5,5,6,lekki phase,5 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
750000,2,2,3,divine estate,2 BEDROOM SHARED APARTMENT FLAT 
6500000,4,4,5,lekki phase,4 BEDROOM FLAT 
3500000,2,2,3,lekki phase,2 BEDROOM PENTHOUSE FLAT 
9000000,3,3,3,. ikoyi,3 BEDROOM FLAT 
12000000,4,4,4,. ikoyi,4 BEDROOM MASSIONETTE HOUSE FOR RENT . IKOYI LAGOS
8000000,3,3,3,old ikoyi,3 BEDROOM MASSIONETTE HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
9000000,5,5,5,off alexander,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT OFF ALEXANDER ROAD IKOYI LAGOS
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
20000000,4,4,4,victoria island,4 BEDROOM FLAT 
14000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
15000000,3,3,3,ikeja lagos,3 BEDROOM FLAT 
7500000,4,4,5,off palace,4 BEDROOM FLAT 
14000000,4,4,5,parkview estate,4 BEDROOM FLAT 
2500000,4,4,5,ikota lekki,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT IKOTA LEKKI LAGOS
8000000,2,2,3,old ikoyi,2 BEDROOM FLAT 
15000000,3,3,4,victoria island,3 BEDROOM FLAT 
5500000,4,4,5,lekki phase,4 BEDROOM FLAT 
10000000,2,2,3,banana island,2 BEDROOM FLAT 
16000000,4,4,4,victoria island,4 BEDROOM FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
17000000,3,3,3,banana island,3 BEDROOM FLAT 
6500000,4,4,5,lekki phase,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
4000000,3,3,4,lekki phase,3 BEDROOM FLAT 
3300000,4,4,5,chevy view,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVY VIEW ESTATE LEKKI CHEVRON LEKKI LAGOS
3500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI CHEVRON LEKKI LAGOS
4000000,4,4,5,ikota lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT IKOTA LEKKI IKOTA LEKKI LAGOS
3000000,4,4,5,agungi lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT AGUNGI LEKKI AGUNGI LEKKI LAGOS
1000000,2,2,3,ifako gbagada,2 BEDROOM FLAT 
18000000,4,4,4,victoria island,4 BEDROOM FLAT 
16000000,3,3,3,victoria island,3 BEDROOM FLAT 
7500000,5,5,5,ikoyi lagos,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKOYI LAGOS
12000000,4,4,4,old ikoyi,4 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
8000000,3,3,3,off alexander,3 BEDROOM FLAT 
15000000,4,4,4,victoria island,4 BEDROOM FLAT 
7000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
