property_title,property_location,property_price,property_features,property_link
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT PENINSULA LEKKI LEKKI LAGOS,Peninsula Lekki Lekki Lagos,"₦ 3,200,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-peninsula-lekki-lekki-lagos-0DMUJ
4 BEDROOM HOUSE FOR RENT SANGOTEDO AJAH LAGOS,Sangotedo Ajah Lagos,"₦ 1,800,000",4 bed 5 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-house-for-rent-sangotedo-ajah-lagos-6DLHZ
4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON DIRVE CHEVRON LEKKI LAGOS,Chevron Dirve Chevron Lekki Lagos,"₦ 2,800,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-semi-detached-duplex-house-for-rent-chevron-dirve-chevron-lekki-lagos-2CTVN
"HOUSE FOR RENT OMOLE PHASE 1 , IKEJA OMOLE PHASE 1 OJODU LAGOS","Omole Phase 1 , Ikeja Omole Phase 1 Ojodu Lagos","₦ 5,000,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-omole-phase-1-ikeja-omole-phase-1-ojodu-lagos-4DLQV
MINI FLAT FLAT / APARTMENT FOR RENT OFF PALACE ROAD. ONIRU ONIRU VICTORIA ISLAND LAGOS,Off Palace Road. Oniru Oniru Victoria Island Lagos,"₦ 1,300,000",bed bath toilet,https://www.propertypro.ng/property/mini-flat-flat-apartment-for-rent-off-palace-road-oniru-oniru-victoria-island-lagos-3DLAW
FLAT / APARTMENT FOR RENT MENDE MARYLAND LAGOS,Mende Maryland Lagos,"₦ 350,000",bed bath toilet,https://www.propertypro.ng/property/flat-apartment-for-rent-mende-maryland-lagos-1DKKE
FLAT / APARTMENT FOR RENT OGUDU OGUDU LAGOS,Ogudu Ogudu Lagos,"₦ 500,000",bed bath toilet,https://www.propertypro.ng/property/flat-apartment-for-rent-ogudu-ogudu-lagos-4DKKE
2 BEDROOM SELF CONTAIN FLAT / APARTMENT FOR RENT WHITE HOUSE COMMAND IPAJA ROAD IPAJA LAGOS,White House Command Ipaja Road Ipaja Lagos,"₦ 500,000",2 bed 2 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-self-contain-flat-apartment-for-rent-white-house-command-ipaja-road-ipaja-lagos-4DMLG
3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT BANANA ISLAND BANANA ISLAND IKOYI LAGOS,Banana Island Banana Island Ikoyi Lagos,"₦ 17,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-terraced-duplex-house-for-rent-banana-island-banana-island-ikoyi-lagos-7CKZP
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT VICTORIA ISLAND.. VICTORIA ISLAND LAGOS,Victoria Island.. Victoria Island Lagos,"₦ 4,500,000",bed bath toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-victoria-island-victoria-island-lagos-1DDWH
3 BEDROOM COMMERCIAL PROPERTY FOR RENT FALOMO ROAD AWOLOWO ROAD IKOYI LAGOS,Falomo Road Awolowo Road Ikoyi Lagos,"₦ 4,000,000",3 bed bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-commercial-property-for-rent-falomo-road-awolowo-road-ikoyi-lagos-3CKBJ
HOUSE FOR RENT IKOYI LAGOS,Ikoyi Lagos,"₦ 7,000,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-ikoyi-lagos-7DLZV
5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT APPLE JUNCTION AMUWO ODOFIN LAGOS,Apple Junction Amuwo Odofin Lagos,"₦ 3,500,000",5 bed 5 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-semi-detached-duplex-house-for-rent-apple-junction-amuwo-odofin-lagos-7DKSJ
"SEMI DETACHED DUPLEX HOUSE FOR RENT FRIENDS CLOSE, OCEAN BREEZ ESTATE, OLOGOLO, JANKANDE.LEKKI. OLOGOLO LEKKI LAGOS","Friends Close, Ocean Breez Estate, Ologolo, Jankande.Lekki. Ologolo Lekki Lagos","₦ 3,000,000",0 bed 0 bath 0 toilet,https://www.propertypro.ng/property/semi-detached-duplex-house-for-rent-friends-close-ocean-breez-estate-ologolo-jankandelekki-ologolo-lekki-lagos-1DADM
"MINI FLAT FLAT / APARTMENT FOR RENT AGBE RD, ABULE EGBA. OKO OBA AGEGE LAGOS","Agbe Rd, Abule Egba. Oko Oba Agege Lagos","₦ 300,000",bed bath toilet,https://www.propertypro.ng/property/mini-flat-flat-apartment-for-rent-agbe-rd-abule-egba-oko-oba-agege-lagos-6DMXT
4 BEDROOM HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS,Lekki Phase 1 Lekki Lagos,"₦ 3,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4DMSK
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OSAPA LONDON LEKKI LAGOS,Osapa London Lekki Lagos,"₦ 4,500,000",4 bed 5 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-osapa-london-lekki-lagos-6DGDQ
"MINI FLAT FLAT / APARTMENT FOR RENT OFF DUROSUNMI ETTI, LEKKI PHASE 1 LEKKI LAGOS","Off Durosunmi Etti, Lekki Phase 1 Lekki Lagos","₦ 1,500,000",bed bath toilet,https://www.propertypro.ng/property/mini-flat-flat-apartment-for-rent-off-durosunmi-etti-lekki-phase-1-lekki-lagos-2DLTC
2 BEDROOM FLAT / APARTMENT FOR RENT EBUTE META WEST OFF APAPA ROAD EBUTE METTA YABA LAGOS,Ebute Meta West Off Apapa Road Ebute Metta Yaba Lagos,"₦ 1,300,000",2 bed 2 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ebute-meta-west-off-apapa-road-ebute-metta-yaba-lagos-2DHXP
1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT IKOLA IPAJA ROAD IPAJA LAGOS,Ikola Ipaja Road Ipaja Lagos,"₦ 200,000",1 bed 1 bath 1 toilet,https://www.propertypro.ng/property/1-bedroom-mini-flat-mini-flat-flat-apartment-for-rent-ikola-ipaja-road-ipaja-lagos-7DKYP
3 BEDROOM FLAT / APARTMENT FOR RENT IKOTA VILLA ESTATE BY MEGA CHICKEN IKOTA LEKKI IKOTA LEKKI LAGOS,Ikota Villa Estate By Mega Chicken Ikota Lekki Ikota Lekki Lagos,"₦ 1,800,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikota-villa-estate-by-mega-chicken-ikota-lekki-ikota-lekki-lagos-8DEYL
"BLOCKS OF FLATS HOUSE FOR RENT SALVATION ROAD, OFF OPEBI, IKEJA, LAGOS OPEBI IKEJA LAGOS","Salvation Road, Off Opebi, Ikeja, Lagos Opebi Ikeja Lagos","₦ 6,000,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-salvation-road-off-opebi-ikeja-lagos-opebi-ikeja-lagos-1DJQB
BLOCKS OF FLATS HOUSE FOR RENT ADENIYI JONES IKEJA LAGOS,Adeniyi Jones Ikeja Lagos,"₦ 1,700,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-adeniyi-jones-ikeja-lagos-9DHZV
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS,Chevron Lekki Lagos,"₦ 4,000,000",4 bed 5 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-chevron-lekki-lagos-0DEDK
1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT BERGER OJODU LAGOS,Berger Ojodu Lagos,"₦ 400,000",1 bed 1 bath 2 toilet,https://www.propertypro.ng/property/1-bedroom-mini-flat-mini-flat-flat-apartment-for-rent-berger-ojodu-lagos-4DKVU
3 BEDROOM HOUSE FOR RENT AJAYI ROAD OGBA LAGOS,Ajayi Road Ogba Lagos,"₦ 1,000,000",3 bed 3 bath 2 toilet,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ajayi-road-ogba-lagos-5DHGW
2 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT ISHERI MAGODO GRA PHASE 1 OJODU LAGOS,Isheri Magodo Gra Phase 1 Ojodu Lagos,"₦ 800,000",2 bed 2 bath 2 toilet,https://www.propertypro.ng/property/2-bedroom-blocks-of-flats-house-for-rent-isheri-magodo-gra-phase-1-ojodu-lagos-0DKQZ
BLOCKS OF FLATS HOUSE FOR RENT IKATE ON HOUSE ON THE ROCK CHURCH ROAD IKATE LEKKI LAGOS,Ikate On House On The Rock Church Road Ikate Lekki Lagos,"₦ 2,300,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-ikate-on-house-on-the-rock-church-road-ikate-lekki-lagos-3DMRY
SHOP COMMERCIAL PROPERTY FOR RENT COLLEGE RD OGBA LAGOS,College Rd Ogba Lagos,"₦ 600,000",bed bath toilet,https://www.propertypro.ng/property/shop-commercial-property-for-rent-college-rd-ogba-lagos-2DMVL
4 BEDROOM FLAT / APARTMENT FOR RENT ONIKE YABA LAGOS,Onike Yaba Lagos,"₦ 2,000,000",4 bed 5 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-onike-yaba-lagos-7DHAA
"BLOCKS OF FLATS HOUSE FOR RENT DADDY SALVAGE, FAGBA FAGBA AGEGE LAGOS","Daddy Salvage, Fagba Fagba Agege Lagos","₦ 800,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-daddy-salvage-fagba-fagba-agege-lagos-9DLPN
"BLOCKS OF FLATS HOUSE FOR RENT OFF COLE STREET, LAWANSON,SURULERE, LAWANSON SURULERE LAGOS","Off Cole Street, Lawanson,Surulere, Lawanson Surulere Lagos","₦ 1,300,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-off-cole-street-lawansonsurulere-lawanson-surulere-lagos-5DLEA
COMMERCIAL PROPERTY FOR RENT - LEKKI PHASE 1 LEKKI LAGOS,- Lekki Phase 1 Lekki Lagos,"₦ 500,000,000",0 bed 0 bath 0 toilet,https://www.propertypro.ng/property/commercial-property-for-rent-lekki-phase-1-lekki-lagos-9DCTL
3 BEDROOM FLAT / APARTMENT FOR RENT THOMAS ESTATE AJAH LAGOS,Thomas Estate Ajah Lagos,"₦ 1,300,000",3 bed 4 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-thomas-estate-ajah-lagos-2DMGH
HOUSE FOR RENT MAGODO GRA SHANGISHA. MAGODO GRA PHASE 2 KOSOFE/IKOSI LAGOS,Magodo Gra Shangisha. Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 2,800,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-magodo-gra-shangisha-magodo-gra-phase-2-kosofe-ikosi-lagos-3DNBG
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT MAGODO GRA PHASE 2 KOSOFE/IKOSI LAGOS,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"₦ 4,300,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-magodo-gra-phase-2-kosofe-ikosi-lagos-8DFHZ
HOUSE FOR RENT IKOYI LAGOS,Ikoyi Lagos,"₦ 10,000,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-ikoyi-lagos-0DLZW
4 BEDROOM HOUSE FOR RENT PARKVIEW ESTATE IKOYI LAGOS,Parkview Estate Ikoyi Lagos,"₦ 7,000,000",4 bed 5 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-house-for-rent-parkview-estate-ikoyi-lagos-9DHVK
"BLOCKS OF FLATS HOUSE FOR RENT OFF AGRIC TARRED ROAD, IGANDO, IGANDO IKOTUN/IGANDO LAGOS","Off Agric Tarred Road, Igando, Igando Ikotun Igando Lagos","₦ 350,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-off-agric-tarred-road-igando-igando-ikotun-igando-lagos-3DKFG
4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT BY JACOB MEWS ESTATE ALAGOMEJI YABA LAGOS,By Jacob Mews Estate Alagomeji Yaba Lagos,"₦ 3,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-semi-detached-duplex-house-for-rent-by-jacob-mews-estate-alagomeji-yaba-lagos-9DJYA
3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT WESTEND ESTATE IKOTA LEKKI LAGOS,Westend Estate Ikota Lekki Lagos,"₦ 2,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-terraced-duplex-house-for-rent-westend-estate-ikota-lekki-lagos-5DDRF
4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS,Chevron Lekki Lagos,"₦ 3,500,000",4 bed 6 bath 6 toilet,https://www.propertypro.ng/property/4-bedroom-semi-detached-duplex-house-for-rent-chevron-lekki-lagos-9DNFL
3 BEDROOM HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 13,000,000",3 bed 4 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-0CZBD
5 BEDROOM HOUSE FOR RENT THOMAS ESTATE AJAH LAGOS,Thomas Estate Ajah Lagos,"₦ 4,000,000",5 bed 6 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-house-for-rent-thomas-estate-ajah-lagos-9DMGA
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT ADMIRALTY WAY LEKKI PHASE 1 LEKKI LAGOS,Admiralty Way Lekki Phase 1 Lekki Lagos,"₦ 4,500,000",4 bed 5 bath 6 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-admiralty-way-lekki-phase-1-lekki-lagos-7DNEG
5 BEDROOM HOUSE FOR RENT ALAGOMEJI YABA LAGOS,Alagomeji Yaba Lagos,"₦ 5,000,000",5 bed 5 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-house-for-rent-alagomeji-yaba-lagos-8DMGJ
2 BEDROOM HOUSE FOR RENT MANGORO IKEJA LAGOS,Mangoro Ikeja Lagos,"₦ 1,300,000",2 bed 2 bath 2 toilet,https://www.propertypro.ng/property/2-bedroom-house-for-rent-mangoro-ikeja-lagos-1DHGM
3 BEDROOM FLAT / APARTMENT FOR RENT MCPHERSON BOURDILLON IKOYI LAGOS,Mcpherson Bourdillon Ikoyi Lagos,"₦ 8,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-mcpherson-bourdillon-ikoyi-lagos-6CDBV
3 BEDROOM FLAT / APARTMENT FOR RENT ALAGOMEJI ALAGOMEJI YABA LAGOS,Alagomeji Alagomeji Yaba Lagos,"₦ 2,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-alagomeji-alagomeji-yaba-lagos-2DNCR
